User Type,Username,Date,Text
,nyder2,2013-02-22T04:06Z,thanks for the torrent!
,darkony1226,2013-02-22T04:14Z,real deal folks!
,Lancer45,2013-02-22T04:15Z,show me the commentz
,bulletproofAllahuAkbar,2013-02-22T04:16Z,.
,Blastcore,2013-02-22T04:19Z,So i'll need to download all this shit again?
,godfathertig,2013-02-22T04:20Z,?
,Piratechnix,2013-02-22T04:20Z,Bout time  ;)
,bulletproofAllahuAkbar,2013-02-22T04:21Z,-
,Sheevz0r,2013-02-22T04:22Z,"Epic, *crosses his fingers*, hope this works."
,hisazul,2013-02-22T04:28Z,Wish they would mention if its deluxe edition or not.
,rocksbury,2013-02-22T04:46Z,"Mr.Stifmeister does it  again.
Thank you runs fine and was quick over 1mbps."
,NiGHT337117,2013-02-22T04:51Z,is it work?
,vklgame,2013-02-22T05:08Z,"Oh yeah 
fuck you"
,bulletproofAllahuAkbar,2013-02-22T05:10Z,crack doesent fucking work for the unlocked version. Better download this.
,alakesh,2013-02-22T05:26Z,im downloading but if it does'nt work commit suicide u dumbo
,n1nja198585,2013-02-22T05:37Z,"oh mann -.- whole game to download again :(((

... doesnt work with my digital full unlocked version. starts but doesnt load any menue - dissapears immediately ! :( F*CK!!"
,Sicrift,2013-02-22T06:18Z,does this crash second mission like the internal crack for digital download version ???
,mattee91,2013-02-22T06:52Z,does this crash on  second mission????????
,supNegga,2013-02-22T07:16Z,got to DL this one too cuz the UNLOCK torrent crashes with this crack...so here I go again...SEED!! B*tches!!
,Limbsay,2013-02-22T08:00Z,Can confirm that this crashes when you're about to enter the dome.
,rosumparat,2013-02-22T10:02Z,Crashes at 2nd level. Reloaded fails again.
,Sicrift,2013-02-22T10:11Z,please seed guys!!  :)
,Sicrift,2013-02-22T10:13Z,"go easy on skidrow and reloaded. without them we wouldn't even have 1 level to play. or hundreds of other cracked games to play. 

a crack fix will come!  we just have to be patient. "
,420dopemaster,2013-02-22T10:23Z,Crack it yourself then downer cunt
,mibmib007,2013-02-22T10:32Z,rosumparat - its more like your caomputer fails again dumbass.. works perfectly
,Viperdude,2013-02-22T10:34Z,I found this comment from another website: Someone said u can fix the game crash on level 2 by installing the latest NVIDIA driver version 314.07. Try this!
[V],Mr.Stifmeister,2013-02-22T11:28Z,"Okey, alot of users got problem with level 2, well, you can still finish the campaign if you skip level 2.
Open up the console (think its '~' button) and write MAP CANYON and hit enter.
Enjoy"
,harry218,2013-02-22T12:43Z,"[""I found this comment from another website: Someone said u can fix the game crash on level 2 by installing the latest NVIDIA driver version 314.07. Try this!""]

So, for you guys that facing the problem, what is your GPU? Radeon or Nvidia?"
